Air Liquide SA,132.96,4214
Airbus SE,105.38,25104
Amadeus IT Group SA,55.22,1290
Anheuser-Busch InBev SA/NV,52.28,5083
ASML Holding NV,567.2,8172
AXA SA,23.59,24434
Banco Bilbao Vizcaya Argentaria SA,4.65,9683
Banco Santander SA,2.51,185052
BNP Paribas SA,49.2,12115
CRH PLC,37.95,515
Danone SA,53.89,3220
Enel SpA,4.96,125302
Engie SA,12.51,9103
Eni SpA,11.52,29606
EssilorLuxottica SA,161.8,4444
Iberdrola SA,10.48,12258
Industria de Diseno Textil SA,24.24,1293
ING Groep NV,9.51,201247
Intesa Sanpaolo SpA,1.82,110454
Kering SA,546,490
Koninklijke Ahold Delhaize NV,26.58,2647
Koninklijke Philips NV,20.17,26869
L'Oreal SA,360.1,1536
LVMH Moet Hennessy Louis Vuitton SE,684.8,4495
Nokia Oyj,5.16,38651
Orange SA,10.14,7218
Safran SA,106.58,250
Sanofi,97.62,2994
Schneider Electric SE,133.08,1574
Societe Generale SA,22.76,5006
