Яндекс,18.93$,0%,
"1-800 FLOWERS.COM, Inc.",10.58,-1.63%,20 792
10X CAP VENTURE ACQUISITION CORP II,9.94,0%,
10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,10.05,0%,
"10x Genomics, Inc.",42.7,+0.35%,51 072
"111, Inc.",2.42,-9.7%,1 864
"1347 Property Insurance Holdings, Inc.",1.53,0%,
"1347 Property Insurance Holdings, Inc. - 8.00% Cumulative Series A Preferred Stock",17.5,0%,
1847 Goedeker Inc. Commom Stock,1.23,-3.54%,54 797
"1895 Bancorp of Wisconsin, Inc.",10.17,0%,
1LIFE HEALTHCARE INC,16.97,+0.38%,136 211
1st Source Corporation,47.62,+0.93%,811
"21Vianet Group, Inc.",5.1,+1.19%,82 780
"22nd Century Group, Inc.",2,+4.99%,90 917
26 CAPITAL ACQUISITION CORP,9.88,0%,
"2seventy bio, Inc.",16.64,+3.87%,30 779
"2U, Inc.",9.1,-0.93%,90 918
"360 DigiTech, Inc.",13.97,-5.03%,22 503
36Kr Holdings Inc.,1.32,-7.04%,17 562
374WATER INC,2.9,+9.85%,740
3D Systems Corporation,12.59,+1.82%,64 767
3M co,147.46$,-0.46%,200 862
4D MOLECULAR THERAPEUTICS INC,11.46,+4.47%,6 930
500.com Limited,0.72,+1.35%,5 918
"51job, Inc.",60.92,-0.02%,76 522
5:01 ACQUISITION CORP. CLASS A COMMON STOCK,9.94,0%,
5E ADVANCED MATERIALS INC,15.65,+4.96%,2 361
7 ACQUISITION CORP,9.95,0%,
7GC & CO HLDGS INC,9.89,-0.05%,300
"89bio, Inc.",3.6,0%,19 937
8i Acquisition 2 Corp.,9.9,0%,
8i Enterprises Acquisition Corp,0.86,+3.61%,428
8x8 Inc,4.48,+2.87%,243 499
"9 METERS BIOPHARMA, INC",0.27,+2.94%,129 238
908 DEVICES INC,25,+2.04%,21 239
9F Inc.,0.7,-2.74%,2 725
A K A BRANDS HLDG CORP,1.87,-6.03%,1 560
A SPAC I ACQUISITION CORP,9.89,0%,
A SPAC II ACQUISITION CORP,9.9,0%,
"A-Mark Precious Metals, Inc.",32.77,-2.18%,6 949
A.H. Belo Corporation (TX),6.78,+0.89%,214
A.O. Smith Corporation,60.56,-1.16%,14 080
"A10 Networks, Inc.",15.41,-0.52%,38 868
A2Z SMART TECHNOLOGIES CORP,3.16,-3.66%,245
"AAON, Inc.",61.74,-1.06%,3 281
AAR Corp.,45.12,+0.27%,5 201
"Aaron's, Inc.",13.3,-0.23%,15 072
ABB Ltd,29.69,-1.46%,96 103
Abbott Laboratories,109.26,-0.41%,180 406
AbbVie Inc.,138.04,-0.6%,267 155
ABCAM SPON ADS EACH REP 1 ORD SHS,15.01,-3.35%,4 101
ABCELLERA BIOLOGICS INC,11.31,-0.18%,115 894
Abeona Therapeutics Inc.,4.18,-2.56%,4 633
Abercrombie & Fitch Company,18.03,-0.17%,96 299
Aberdeen Australia Equity Fund Inc,5.12,0%,
"Aberdeen Global Income Fund, Inc.",5.19,0%,
ABERDEEN INCOME CREDIT STRATEGS FD 5.250% CUM PERPETUAL PFD STOCK SER A,,,
"Aberdeen Japan Equity Fund, Inc.",5.96,0%,68
Aberdeen Standard Physical Precious Metals Basket Shares ETF,85.28,-0.69%,703
ABG ACQUISITION CORP I,9.84,0%,
"ABIOMED, Inc.",291.43,-0.26%,6 811
ABM Industries Incorporated,44.46,-0.65%,5 800
ABRI SPAC I INC,9.99,0%,
ABSCI CORP,3.7,+1.37%,22 009
ABVC BIOPHARMA INC,0.65,-0.55%,1 600
AC Immune SA,3.39,+2.11%,177
"Acacia Communications, Inc.",114.98,0%,
Acacia Research Corporation,5.05,-0.39%,6 662
ACADEMY SPORTS & OUTDOORS INC,43.04,+0.14%,73 233
"Acadia Healthcare Company, Inc.",81.38,+1.04%,19 015
ACADIA Pharmaceuticals Inc.,16.42,+5.09%,169 472
Acadia Realty Trust,16.22,-0.06%,23 057
Acamar Partners Acquisition Corp.,0.6,+12.38%,37 721
"Acasti Pharma, Inc.",0.87,+1.21%,1 669
ACCEL ENTERTAINMENT INC,11.8,-0.08%,4 877
ACCELERATE ACQUISITION CORP,9.81,0%,
"Accelerate Diagnostics, Inc.",2.13,+9.79%,12 603
Acceleron Pharma Inc.,178.8,0%,
Accenture plc,309.34,-0.44%,71 696
Acco Brands Corporation,7.16,+0.56%,9 147
ACCOLADE INC,11.61,+1.49%,91 825
ACCRETION ACQUISITION CORP,9.93,+0.66%,201
Accuray Incorporated,2.16,+3.35%,30 325
ACE CONVERGENCE ACQUISITION CORP,10.21,0%,
ACE GLOBAL BUSINESS ACQUISITION LTD,10.34,0%,
"AcelRx Pharmaceuticals, Inc.",0.23,-1.83%,12 488
Acer Therapeutics Inc.,1.43,+0.7%,2 640
ACHARI VENTURES HLDGS CORP I,10.02,0%,
"Achieve Life Sciences, Inc.",4.98,-0.3%,380
ACHILLES THERAPEUTICS PLC ADS EACH REPR 1 SHARE SPON,2.89,0%,
